32 in 1,-,CX-26163,,1988,"Educational; Sports","A multi-genre cartridge. It is a PAL-only release and is compatible with the Atari 7800.[4] 32 games are included; including games by Atari; Inc.; Activision; CommaVid; and U.S. Games."
3-D Tic-Tac-Toe,3-D Tic-Tac-Toe,CX-2618,Carol Shaw,1978,Strategy,
Adventure,Adventure,CX-2613,Warren Robinett,1979,"Adventure; Action-RPG","Contains first well-known Easter egg; containing the designer's name."
Air-Sea Battle,Target Fun,CX-2602,Larry Kaplan,1977,Action,One of the nine Atari 2600 launch games.
Alpha Beam with Ernie,-,CX-26103,"Michael Callahan (programmer); Preston Stuart (graphics)",1983,Educational,Co-developed by Children's Computer Workshop  
Asterix,-,CX-2696,Steve Woita,1983,Action,Primarily a PAL release. Same game as Taz but with altered graphics.
Asteroids,Asteroids,CX-2649,Brad Stewart,1981,Action,
Atari Video Cube,-,CX-2670,,1983,Strategy,Originally released as mail-order through Atari Club.
Backgammon,Backgammon,CX-2617,Craig Nelson,1979,Strategy,
Basic Math AKA Fun With Numbers,Math,CX-2661,Gary Palmer,1977,Educational,One of the nine Atari 2600 launch games
BASIC Programming,-,CX-2620,Warren Robinett,1979,Educational,
Basketball,Basketball,CX-2624,Alan Miller,1978,Sports,
Battlezone,-,CX-2681,Mike Feinstein and Brad Rice,1983,"Action; Simulation",
Berzerk,Berzerk,CX-2650,Dan Hitchens,1982,Action,Licensed by Stern Electronics
Big Bird's Egg Catch,-,CX-26104,Christopher Omarzu,1983,"Educational; Strategy",Co-developed by Children's Computer Workshop
Blackjack,Blackjack,CX-2651,Bob Whitehead,1977,Simulation,One of the nine Atari 2600 launch games
Bowling,Bowling,CX-2628,Larry Kaplan,1979,Sports,
Brain Games,Brain Games,CX-2664,Larry Kaplan,1978,"Educational; Strategy",
Breakout,Breakaway IV,CX-2622,Brad Stewart,1978,Action,
Canyon Bomber,Canyon Bomber,CX-2607,David Crane,1979,Action,
Casino,Poker Plus,CX-2652,Bob Whitehead,1978,Strategy,
Centipede,-,CX-2676,,1983,Action,
Circus Atari,Circus,CX-2630,Michael Lorenzen,1980,Action,
Codebreaker,Codebreaker,CX-2643,Unknown,1978,Strategy,
Combat,Tank Plus,CX-2601,"Larry Wagner; Joe Decuir",1977,Action,One of the nine Atari 2600 launch games
A Game of Concentration,Memory Match,CX-2642,Jim Huether,1978,Traditional,Re-release of Hunt & Score
Cookie Monster Munch,-,CX-26102,Gary Stark,1983,Educational,Co-developed by Children's Computer Workshop.
Crazy Climber,-,CX-2683,Alex Leavens,1983,Action,Licensed by Nihon Bussan Co. Mail-order exclusive through Atari Club.
Crossbow,-,CX-26139,,1987,Action,Licensed by Exidy
Crystal Castles,-,CX-26110,"Peter C. Niday (programmer); Robert Vieira (sound); Michael Kosaka (graphics)",1984,Action,
Dark Chambers,-,CX-26151,John Palevich,1988,Action,
Defender,Defender,CX-2609,Bob Polaro,1982,Action,Licensed by Williams Electronics
Defender II,-,CX-26120,"Bill Aspromonte (programmer); Andrew Fuchs (sound)",1988,Action,Re-release of Stargate
Demons to Diamonds,Demons to Diamonds,CX-2615,Nick Turner,1982,Action,
Desert Falcon,-,CX-26140,Bob Polaro,1987,Action,
Dig Dug,-,CX-2677,,1983,Action,Licensed by Namco
Dodge 'Em,Dodger Cars,CX-2637,Carla Meninsky,1980,"Action; Racing",
Donald Duck's Speedboat,-,CX-26108,Suki Lee,1983,Action,Only released in Brazil
Double Dunk,-,CX-26159,Matthew Hubbard,1989,Sports,
E.T. the Extra-Terrestrial,-,CX-2674,Howard Scott Warshaw,1982,Adventure,Considered the worst video game of all time and cause of the “video game crash of 1983”
Fatal Run,-,CX-26162,Steve Aguirre,1990,"Action; Racing / Driving",PAL-only release; developed by Sculptured Software
Flag Capture,Capture,CX-2644,Jim Huether,1978,Strategy,
